time,SLP_N,SNO_N,TS_N,Extent_Had_Diff_N
2020-01-01,101268.305,7.378812e-06,244.78757,-3.601841395683806
2020-02-01,101936.29,7.85215e-06,247.04579,-3.3941151018080014
2020-03-01,102509.09,7.0734645e-06,250.83794,-3.4041071267177117
2020-04-01,102125.05,7.822919e-06,256.32663,-2.4027449098780984
2020-05-01,101764.45,7.315025e-06,268.44006,-2.263580881763806
2020-06-01,101518.24,3.7332254e-06,275.01437,-2.8237030040306728
2020-07-01,101317.19,3.1968893e-06,277.57242,-3.1477882872297123
2020-08-01,101131.414,4.662675e-06,276.18723,-2.4115196592106667
2020-09-01,101099.32,1.0147267e-05,270.40085,-1.1480465713483827
2020-10-01,101003.73,1.1567035e-05,261.53302,-2.2383138218011442
2020-11-01,101207.43,9.918515e-06,252.71092,-3.285032781897522
2020-12-01,101123.57,8.539677e-06,247.39925,-3.4660240429247615
2021-01-01,101655.445,7.808396e-06,244.5626,-3.6913978524398097
2021-02-01,101038.99,8.31401e-06,245.9798,-3.4647793413199928
2021-03-01,102182.87,7.1910977e-06,247.251,-2.975595252949713
2021-04-01,101619.55,8.3029745e-06,256.59055,-2.2307698789980925
2021-05-01,102002.1,6.9773946e-06,267.55362,-1.6272798280038074
2021-06-01,101370.38,4.5835986e-06,275.51935,-1.8853258809706723
2021-07-01,101043.38,3.552658e-06,277.44012,-2.69493416024571
2021-08-01,100852.09,5.0785657e-06,276.1781,-2.460170357486666
2021-09-01,100910.7,7.98798e-06,270.25488,-1.739294706052382
2021-10-01,101051.15,1.11871095e-05,261.30566,-2.711415206949143
2021-11-01,100922.84,1.0304758e-05,252.268,-3.0190186279775233
2021-12-01,101474.26,8.510044e-06,248.12546,-3.15176223808076
2022-01-01,102089.62,7.0470624e-06,245.3911,-3.2783387411158067
2022-02-01,102404.836,7.1894133e-06,246.96904,-3.419163529416
2022-03-01,101863.77,8.237039e-06,249.55515,-2.836970073493717
2022-04-01,102098.79,7.708047e-06,255.651,-2.2759594905260983
2022-05-01,101591.04,8.3571485e-06,266.67352,-2.1587890903558034
2022-06-01,101431.586,5.1237635e-06,275.37405,-2.5563747478826677
2022-07-01,101085.34,3.1408197e-06,277.71188,-2.503060163109712
2022-08-01,100810.37,6.522074e-06,276.22833,-2.0427799234186654
